Source,Quantité à produire
DC2601.43632 FP / [1084536] Ensemble jaumière R65/S66  comprenant : / MO/102219 / [RT60 - 392] Tube jaumière alu Ø 60x2 lg: 392mm,4
DC2601.43720 FP / [1084536] Ensemble jaumière R65/S66  comprenant : / MO/102596 / [RT60 - 392] Tube jaumière alu Ø 60x2 lg: 392mm,6
DC2601.43730 FP / [1034074] Ensemble jaumière VICTORIA / L86 comprenant : / MO/102643 / [RT80 - 320] Tube jaumière alu Ø 80x2 lg: 320mm,2
DC2601.43735 OUTREMER 57 / [27519] Ensemble jaumière OUTREMER57 comprenant : / MO/102908 / [RT80 - 431] Tube jaumière alu Ø 80x2 lg: 431mm,2
DC2602.43854 OUTREMER 48 # 03 + 04  (JAUMIERES) / [XX33328] Ensemble jaumière OUTREMER48 comprenant : / MO/103456 / [RT90 - 401] Tube jaumière alu Ø 90x3 lg: 401mm,4
DC2510.42995 RM1380BS #11 / [XX20682] Barre de liaison alu Ø 35x2 lg 917mm + 2 embouts alu + 2 rotules BEMI10 (D/G) Entraxe rotule:1033mm RM1380 BS / MO/99191 / [ALB35 x 2 - 917] Tube Aluminium pour barre de liaison Ø 35x2 lg: 917mm,2
DC2510.42975 VEYA 3 / [XX34292] Tube jaumière 290mm MY7 comprenant : / MO/99487 / [RT80 - 241] Tube jaumière alu Ø 80x2 lg: 241mm,2
DC2512.43490 P36 N°126 À 130 / [XX8745] Barre de liaison alu Ø 40x2 lg 2044mm + 2 embouts alu +2 tiges filetées + 2 rotules BEFI10 (D/G) POGO36 / MO/101575 / [ALB40 x 2 - 2044] Tube Aluminium pour barre de liaison Ø 40x2 lg: 2044mm,5
DC2512.43493 BA5SA / [5000160] Barre de liaison Ø 50x2 (2x2442mm) + manchon à ajuster et assembler + embouts + BEMI12 (D/G) -  BALI 5.2 (BA5SA) / MO/101593 / [ALB50 x 2 - 2442] Tube Aluminium pour barre de liaison Ø 50x2 lg: 2442mm,8
DC2512.43447 OQS 62 - 02 / [XX35430] Barre de liaison alu Ø 40x2 lg 1549mm + 2 embouts alu anodisés noirs+ 2 rotules BEMI12 (G/D) - pour fausse mèche/chariot OQS62 / MO/102022 / [ALB40 x 2 - 1549] Tube Aluminium pour barre de liaison Ø 40x2 lg: 1549mm,2
DC2512.43447 OQS 62 - 02 / [XX35431] Barre de liaison alu Ø 40x2 lg 1240mm + 2 embouts alu anodisés noirs + 2 rotules BEMI12 (G/D) - pour safran/fausse mèche OQS62 / MO/102027 / [ALB40 x 2 - 1240] Tube Aluminium pour barre de liaison Ø 40x2 lg: 1240mm,2
DC2601.43742 BA5XA / [5000015] Tube de jaumière BA5XA comprenant: / MO/102738 / [RT80 - 643] Tube jaumière alu Ø 80x2 lg: 643 mm,2
DC2512.43490 P36 N°126 À 130 / [RT60 - 272] Tube jaumière alu Ø 60x2 lg: 272mm,10
DC2511.43275 Q64 / [1080376 ind A] Ensemble jaumière Q64 comprenant : / MO/100580 / [RT100 - 364] Tube jaumière alu Ø 100x2 lg: 364mm,2
DC2601.43793 FP / [1084536] Ensemble jaumière R65/S66  comprenant : / MO/103201 / [RT60 - 392] Tube jaumière alu Ø 60x2 lg: 392mm,6
DC2601.43793 FP / [1074583 - Ind A] Jaumière complète Ø60 P63 comprenant: / MO/103203 / [RT60 - 335] Tube jaumière alu Ø 60x2 lg: 335mm,2
