"Source","Quantité à produire"
"DC2601.43598 IBS / [RTE60 - 500] Tube jaumière Epoxy Ø 60x2.5 lg: 500mm","2.0"
"DC2512.43422 CA50 / [18093] Ensemble jaumière N48  comprenant : / MO/101282 / [RT60 - 361] Tube jaumière alu Ø 60x2 lg: 361mm","4.0"
"DC2601.43593 PHL V2 / [5021184] Ensemble jaumière PHO/PHL (BALI 4.0/4.2) comprenant : / MO/102094 / [RT60 - 779] Tube jaumière alu Ø 60x2 lg: 779mm","4.0"
"DC2512.43490 P36 N°126 À 130 / [RT60 - 272] Tube jaumière alu Ø 60x2 lg: 272mm","10.0"
"DC2512.43570 L5MA / [C3176J - Ind A] Ensemble jaumière L5MA SY comprenant : / MO/101865 / [RT80 - 375] Tube jaumière alu Ø 80x2 lg: 375mm","4.0"
"DC2512.43579 Code 0 / [RT60 - 124] Tube jaumière alu Ø 60x2 lg: 124mm","2.0"
"DC2509.42724 Seastar / [RT120 - 130] Tube jaumière alu Ø 120x3 lg: 130mm - Anodisé 15µm incolore","1.0"
"DC2512.43512 CNB / [B8483V- Ind C] Ensemble jaumière L6MA SY comprenant : / MO/101664 / [RT90 - 396] Tube jaumière alu Ø 90x3 lg: 396 mm","2.0"
"DC2512.43515 CNB / [C3176J - Ind A] Ensemble jaumière L5MA SY comprenant : / MO/101680 / [RT80 - 375] Tube jaumière alu Ø 80x2 lg: 375mm","5.0"
"DC2601.43632 FP / [1084536] Ensemble jaumière R65/S66  comprenant : / MO/102219 / [RT60 - 392] Tube jaumière alu Ø 60x2 lg: 392mm","4.0"
"DC2511.43275 Q64 / [1080376 ind A] Ensemble jaumière Q64 comprenant : / MO/100580 / [RT100 - 364] Tube jaumière alu Ø 100x2 lg: 364mm","2.0"
"DC2512.43421 NAUTITECH / [18093] Ensemble jaumière N48  comprenant : / MO/101268 / [RT60 - 361] Tube jaumière alu Ø 60x2 lg: 361mm","2.0"
"DC2601.43598 IBS / [RTA04 60 - 1200] Tube jaumière Ø 60x2 lg: 1200mm à visser sur 10.14.04 (total : 1223mm) / MO/102105 / [RT60 - 1200] Tube jaumière alu Ø 60x2 lg: 1200mm","2.0"
"DC2510.42975 VEYA 3 / [XX34292] Tube jaumière 290mm MY7 comprenant : / MO/99487 / [RT80 - 241] Tube jaumière alu Ø 80x2 lg: 241mm","2.0"
