barre_num,stock,longueur_stock,decoupes,chute
1,Chute_2m,2000,"1x1800",200.0
2,Chute_2m,2000,"1x1800",200.0
3,Chute_2m,2000,"1x1800",200.0
4,Chute_2m,2000,"1x1800",200.0
5,Chute_2m,2000,"1x1800",200.0
6,Chute_2m,2000,"1x1800",200.0
7,Chute_2m,2000,"1x1800",200.0
8,Chute_2m,2000,"1x1800",200.0
9,Chute_2m,2000,"6x300",175.0
10,Chute_2m,2000,"6x300",175.0
11,Barre_6m,6000,"2x2100 + 2x600 + 1x450",130.0
12,Barre_6m,6000,"2x2100 + 2x600 + 1x450",130.0
13,Barre_6m,6000,"2x2100 + 2x600 + 1x450",130.0
14,Barre_6m,6000,"2x2100 + 2x600 + 1x450",130.0
15,Chute_2m,2000,"1x600 + 3x450",35.0
16,Chute_2m,2000,"1x600 + 3x450",35.0
17,Chute_2m,2000,"1x600 + 3x450",35.0
18,Chute_2m,2000,"1x600 + 3x450",35.0
